,index,Trade Name,Zip,OpenYear,OpenMonth
0,55,Catawba Valley Brewing Company,28655,2007,8
1,62,Catawba Valley Brewing Company,28801,2016,11
2,65,Catawba Valley Brewing Company,28204,2017,10
3,70,Rock Bottom Restaurant and Brewery,28202,1998,3
4,72,Olde Hickory Brewery,28602,1998,4
5,73,Olde Hickory Brewery,28602,2000,4
6,95,Asheville Brewing Company,28801,2006,6
7,96,Asheville Pizza and Brewing Company,28801,2017,1
8,101,Liberty Brewery and Grill,27262,2000,4
9,103,Biltmore Brewing Company,28803,2010,6
10,110,Outer Banks Brewing Station,27948,2001,7
11,127,Sierra Nevada Brewing Company,28759,2014,9
12,129,Natty Greenes Pub and Brewing Company,27401,2004,9
13,131,Natty Greenes Brewing Company,27403,2007,8
14,135,Pisgah Brewing Company,28711,2004,12
15,139,Duck Rabbit Craft Brewery,27828,2004,11
16,151,Foothills Brewing,27101,2005,6
17,152,Foothills Brewing,27103,2012,2
18,179,Weeping Radish Brewery,27947,2007,5
19,198,Big Boss Brewing,27604,2007,8
20,207,Andrews Brewing Company Calaboose Cellars,28901,2013,5
21,208,Andrews Brewing Company,28901,2018,1
22,218,Wedge Brewery,28801,2008,8
23,226,MillerCoors,27288,2008,9
24,229,Morgan Ridge Vineyards,28071,2014,8
25,234,Morgan Ridge Railwalk Brewery and Eatery,28144,2017,9
26,236,Lonerider Brewing Company,27617,2009,2
27,243,Aviator Brewing Company,27526,2010,10
28,245,Huske Hardware House Restaurant and Brewery,28301,2009,3
29,256,Round Peak Vineyards,27030,2012,10
30,260,Skull Camp Brewing,28621,2015,2
31,272,Olde Mecklenburg Brewery,28217,2014,11
32,283,Red Oak Brewery,27377,2009,5
33,294,Mother Earth Brewing,28501,2011,9
34,311,Nantahala Brewing Company,28713,2010,7
35,323,Fullsteam Brewery,27701,2010,9
36,334,Railhouse Brewery,28315,2010,12
37,348,Southern Appalachian Brewery,28792,2011,4
38,356,Frog Level Brewing Company,28786,2011,6
39,359,Bull City Burger and Brewery,27701,2011,6
40,367,Ass Clown Beer and Wine,28031,2012,5
41,374,Lost Colony Brewery,27978,2018,10
42,377,Bear Creek Brews,27207,2011,11
43,381,Thirsty Monk South,28803,2012,2
44,385,NoDa Brewing Company,28205,2012,2
45,388,NoDa Brewing Company,28206,2016,11
46,395,Birdsong Brewing Company,28206,2015,11
47,412,Sub Noir Brewing Company,27608,2012,11
48,422,Brevard Brewing Company,28712,2012,5
49,438,White Street Brewing Company,27587,2012,10
50,443,White Street Brewing Company,27596,2016,9
51,448,Starpoint Brewing,27516,2012,10
52,450,Starpoint Brewing,27707,2017,10
53,457,White Rabbit Brewing Company,27501,2013,7
54,462,Heist Brewery,28205,2013,1
55,465,Heist Brewing Company,28206,2018,9
56,470,Blue Mountain Pizza,28787,2013,1
57,484,Stout Brewing Company,28086,2013,7
58,485,Raleigh Brewing Company,27607,2013,7
59,499,Deep River Brewing Company,27520,2013,5
60,504,Boondocks Brewing,28694,2015,9
61,508,Whiskey Mill Bar and Grill,28016,2013,10
62,511,Steel String,27510,2013,7
63,518,New Sarum Brewing Company,28144,2017,5
64,522,Lookout Brewing Company,28711,2013,7
65,529,Burial Beer Company,28801,2013,10
66,530,Burial Beer Company,28803,2017,8
67,537,Lynnwood Grill,27613,2013,10
68,538,Oyster House Brewing Company,28806,2013,8
69,542,Front Street Brewery,28401,2013,10
70,545,Crank Arm Brewing Company,27601,2013,10
71,553,Dirtbag Ales,28348,2014,11
72,555,Dirtbag Ales Brewery and Taproom,28348,2019,11
73,565,Lenny Boy Brewing Company,28217,2017,8
74,568,Granite Falls Brewing Company,28630,2013,11
75,570,Blowing Rock Brewing Company,28605,2014,2
76,575,Blowing Rock Brewing Company,28602,2015,8
77,581,Double Barley Brewing,27577,2014,2
78,585,Fonta Flora Brewery,28655,2014,2
79,588,Fonta Flora Brewery,28761,2018,11
80,594,Innovation Brewing,28779,2014,10
81,599,District 9 Brewing Company,28031,2014,11
82,607,Bens Tune Up,28801,2014,8
83,609,Unknown Brewing Company,28203,2014,10
84,611,Bombshell Beer Company,27540,2014,2
85,616,Broomtail Craft Brewery,28405,2014,8
86,618,Broomtail Craft Brewery,28405,2020,1
87,620,Beech Mountain Resort,28604,2014,8
88,624,Fortnight Brewing,27511,2015,7
89,637,Twin Leaf Brewery,28801,2014,10
90,640,Small Batch Beer Company,27101,2014,8
91,642,Brueprint Brewing Company,27502,2014,8
92,644,One World Brewing,28801,2014,8
93,648,One World Brewing,28806,2018,11
94,663,Pig Pounder,27408,2014,10
95,666,Satulah Mountain Brewing Company,28741,2015,9
96,670,Good Hops Brewing,28428,2014,10
97,671,Southern Pines Brewing Company,28387,2014,10
98,676,Wilmington Brewing Company,28403,2014,10
99,682,Gibbs Hundred Brewing Company,27405,2018,6
100,684,Lost Province Brewing Company,28607,2014,11
101,687,Sugar Creek Brewing Company,28217,2014,12
102,695,Haw River Farmhouse Ales,27340,2014,11
103,703,Flytrap Brewing,28401,2015,1
104,710,Boojum Brewing Company,28786,2015,7
105,715,Sycamore Brewing,28203,2015,9
106,719,Sycamore Brewing,28206,2018,6
107,736,Koi Pond Brewing Company,27804,2017,5
108,746,Primal Brewery,28078,2015,9
109,760,Brewery 99,28560,2015,12
110,765,Lazy Hiker Brewing Company,28734,2015,5
111,771,Ironclad Brewery,28401,2015,7
112,778,Mill Whistle Brewing,28516,2015,7
113,784,Preyer Brewing Company,27401,2015,9
114,790,Four Saints Brewing Company,27203,2015,9
115,794,Carolina Brewery and Grill,27312,2015,12
116,800,Carolina Brewery,27516,2016,3
117,812,Mash House Brewing Company,28303,2017,3
118,818,Ole Dallas Brewery,28034,2016,11
119,826,Free Range Brewing,28205,2016,11
120,831,Booneshine Brewing Company,28607,2018,11
121,834,Wooden Robot Brewery,28203,2016,9
122,837,Wooden Robot Brewery,28205,2019,11
123,846,Neuse River Brewing Company,27608,2016,11
124,848,Hi Wire Brewing,28801,2016,11
125,851,Hi Wire Brewing,28803,2016,11
126,856,Oskar Blues Brewery,28712,2016,1
127,861,Ponysaurus Brewing Company,27701,2016,10
128,866,Newgrass Brewing Company,28150,2016,9
129,871,Compass Rose Brewery,27615,2016,2
130,876,Regulator Brewing Company,27278,2016,11
131,882,Seven Jars Products,28216,2016,2
132,884,Salud Cerveceria,28205,2017,3
133,888,Lynnwood Brewing,27604,2016,8
134,891,High Branch Brewing Company,28027,2016,11
135,897,Waterline Brewing Company,28401,2016,9
136,899,Zebulon Artisan Ales,28787,2016,9
