#,File Number,Trade Name,Corp Name,Business Status,Address,City,State,Zip,Mail Address,Mail City,Mail State,Mail Zip,County,Permit Number,Issue Date,Permit Status
1,-,Ivory Tower Brewery,Appalachian State University,Withdrawn,775 Bodenheimer Drive,Boone,,28608,PO Box 32066,Boone,NC ,28608,Watauga,,,
2,-,Trophy Brewing,Grain Raleigh LLC,Withdrawn,827 West Morgan Street,Raleigh,,27603,,,,,Wake,,,
3,-,Hosanna Brewing Company,Hosanna Brewing Company,Withdrawn,2912 North Main Street Unit 100,Fuquay Varina,,27526,,,,,Wake,,,
4,-,Tryon Back Door Distillery,Tryon Back Door Distillery LLC,Withdrawn,77 Maple Street,Tryon,,28782,318 Springbrook Drive,Columbus,NC ,28722,Polk,,,
5,-,Blackjack Brewing Company,Blackjack Brewing Company LLC,Withdrawn,1053 East Whitaker Mill Suite 101,Raleigh,,27604,,,,,Wake,,,
6,-,Sweet Taters,Sweet Taters LLC,Withdrawn,1121 Falls Road,Rocky Mount,,27804,2667 Reges Store Road,Nashville,NC ,27856,Nash,,,
7,-,Lake Norman Brewing Company,Lake Gaston Brewing Company LLC,Withdrawn,159 Barley Park Lane Unit B,Mooresville,,28115,,,,,Iredell,,,
8,-,Lincoln Brewing Company,Hosanna Brewing Company,Withdrawn,6471 Triangle Plantation Drive Suite 106,Raleigh,,27616,,,,,Wake,,,
9,-,Creek Bottom Brewing and Craft Beer Store,Creek Bottom Brewing LLC  ,Withdrawn,1018 Rockford Street,Mount Airy,,27030,307 Meadow Street,Galax,VA ,24333,Surry,,,
10,-,Olde Mecklenburg Brewery,Olde Mecklenburg Brewery LLC,Pending-Temporary,4210 Yancey Road,Charlotte,,28217,,,,,Mecklenburg,,,
11,-,Sidetracked Taproom,Sidetracked Taproom LLC,Withdrawn,609 South Green Street Suite 100,Morganton,,28655,,,,,Burke,,,
12,-,Steinhaugen,Steinhaugen Inc,Pending-Temporary,1017 Ivy Avenue,Winston Salem,,27101,,,,,Forsyth,,,
13,-,Instill Distilling Company,Instill Distilling Company Inc,Pending-Temporary,710 West Main Street Suite 111,Clayton,,27520,150 Jessica Drive,Clayton,NC ,27520,Johnston,,,
14,-,Two Doors Distilling Company,Two Doors Distilling LLC,Pending-Temporary,609-B Foster Street,Durham,,27701,,,,,Durham,,,
15,-,Protagonist Clubhouse,Three Pillars Brewing LLC,Pending-Temporary,3123 North Davidson Street Suite 104,Charlotte,,28205,,,,,Mecklenburg,,,
16,-,Carolina Country Distillery,Carolina Country Distillery Inc,Pending-Temporary,218 East Nash Street,Louisburg,,27549,,,,,Franklin,,,
17,-,Gypsy Road Brewing Company,J T x 2 LLC,Pending-Temporary,1105 East Mountain Street Suite B,Kernersville,,27284,5735 Broomley Drive,Kernersville,NC ,27284,Forsyth,,,
18,-,Lower Left Brewing Company,Camilla Drive LLC,Pending-Temporary,4528 Nations Crossing Road,Charlotte,,28217,,,,,Mecklenburg,,,
19,-,Green Man Brewing ,Green Man Brewing Co LLC  ,Pending-Temporary,23 Buxton Avenue,Asheville,,28801,27 Buxon Avenue,Asheville,NC ,28801,Buncombe,,,
20,-,Green Man Brewing ,Green Man Brewing Co LLC  ,Pending-Temporary,27 Buxton Avenue,Asheville,,28801,,,,,Buncombe,,,
21,-,Middle James Brewing Company,Third Half Brewing Company LLC,Pending-Temporary,400 North Polk Street,Pineville,,28134,,,,,Mecklenburg,,,
22,-,Southend Brewing Company,Southend Brewing Company LLC,Pending-Temporary,117 B-1 West Lewis Street,Greensboro,,27406,,,,,Guilford,,,
23,-,Mordecai Beverage Company,Christenbury Beverage Company LLC,Pending-Temporary,2425 Crabtree Blvd,Raleigh,,27609,1025 Indian Trail Drive,Raleigh,NC ,27609,Wake,,,
24,-,Appalachian Grail Brewing Company,Appalachian Grail Brewing LLC,Pending-Temporary,8 Cedar Cliff Road Suite 2,Hayesville,,28904,,,,,Clay,,,
25,-,Hell on Horsecreek Brewing Company,Lichtenberg Inc,Pending-Temporary,107 East Murphy Street,Madison,,27025,,,,,Rockingham,,,
26,-,Craftboro Brewing Depot,Craftboro Brewing Depot LLC,Pending-Temporary,101 Two Hills Drive Unit 180,Carrboro,,27510,,,,,Orange,,,
27,-,McFarms Blueberries,McFarms Blueberries LLC,Pending-Temporary,990-B Pineview Cemetery Road,Seven Springs,,28578,,,,,Wayne,,,
28,-,Hatchet Brewing,Hatchet Brewing Company LLC,Pending-Temporary,490 Southwest Broad Street,Southern Pines,,28387,,,,,Moore,,,
29,-,Bearded Barrel Brewery,Bearded Barrel Brewery LLC,Pending-Temporary,46 McCachern Blvd SE,Concord,,28025,PO Box 626,Harrisburg,NC ,28025,Cabarrus,,,
30,-,Hackney Distillery,Momentum Washington LLC,Pending-Temporary,192 West Main Street Suite B,Washington,,27889,627 West Main Street,Washington,NC ,27889,Beaufort,,,
31,-,DSSOLVR,DSSOLVR LLC,Pending-Temporary,63 North Lexington Avenue,Asheville,,28801,57 Washington Road Apt A,Asheville,NC ,28801,Buncombe,,,
32,-,Homecrafted,Homecrafted LLC,Pending-Temporary,101 Tradition Trail,Holly Springs,,27540,,,,,Wake,,,
33,-,Oden Brothers Brewery,Oden Brothers Brewery LLC ,Pending-Temporary,802 West Gate City Blvd,Greensboro,,27403,,,,,Guilford,,,
34,-,Burning Blush Brewery,Burning Blush Brewery LLC,Pending-Temporary,4891 Boylston Hwy,Mills River,,28759,28 Falling Star Court,Fletcher,NC ,28732,Henderson,,,
35,-,Sunstead Brewing,Sunstead Brewing LLC,Pending-Temporary,1200 South Graham Street,Charlotte,,28203,,,,,Mecklenburg,,,
36,-,Radar Brewing Company  ,Radar Brewing Company LLC,Pending-Temporary,216 East Ninth Street,Winston Salem,,27101,28 Edith Avenue,Winston Salem,NC ,27106,Forsyth,,,
37,-,Nauti Dog Brewing Company  ,Nauti Dog Brewing Company LLC,Pending-Temporary,210 Main Street,Winterville,,28590,3761 Langston Blvd,Winterville,NC ,28590,Pitt,,,
38,-,Durham Distillery LLC  ,Durham Distillery ,Pending-Temporary,711 Washington Street Suite 200,Durham,,27701,,,,,Durham,,,
39,-,Founding Fathers Distillery,Founding Fathers Distillery LTD,Pending-Temporary,6116 Hickory Creek Road,High Point,,27263,,,,,Guilford,,,
40,-,Devils Logic Brewing  ,Axiom Brewing Company LLC   ,Pending-Temporary,1426 East 4th Street,Charlotte,,28204,,,,,Mecklenburg,,,
41,-,Hoots Beer Company  ,Roller Mills LLC,Pending-Temporary,840 Mill Works Street Suite 110,Winston Salem,,27101,,,,,Forsyth,,,
42,-,Local Oak Brewing Company ,Local Oak Brewing Company LLC  ,Pending-Temporary,2564 Railroad Street,Winterville,,28520,,,,,Pitt,,,
43,-,Armory Beer Company,Armory Beer Company Inc,Pending-Temporary,211 West Avenue,Kannapolis,,28081,5212 Shannamara Drive,Matthews,NC ,28104,Cabarrus,,,
44,-,Midsummer Brewing,Midsummer Brewing LLC,Pending-Temporary,8544 NC Hwy 89 Unit B,Westfield,,27053,,,,,Stokes,,,
45,-,Norse Brewing Company,Norse Brewing Company LLC,Pending-Temporary,203 Brooks Street,Wake Forest,,27587,924 Hidden Jewel Lane,Wake Forest,NC ,27587,Wake,,,
